# PS3 Classic base game index v1
# G\tTITLE_ID\tNAME\tCONTENT_ID
# A\tTITLE_ID
# D\tTITLE_ID
G	NPUB30543	Warp	UP0006-NPUB30543_00-ABCDEFGHIWARPHDD
G	NPUB30552	Beat Hazard Ultra	UP4332-NPUB30552_00-HDDBHULTRADEMO01
G	NPUB30554	Oddworld - Strangers Wrath HD	UP4134-NPUB30554_00-ODDSWHDGAME00001
G	NPUB30558	NBA Jam On Fire Edition	UP0006-NPUB30558_00-NBAJAMNA00000000
G	NPUB30559	Rugby World Cup	UP4040-NPUB30559_00-RWC2011TRIALNA00
G	NPUB30562	Max & the Magic Marker - Gold Edition (TRIAL)	UP4331-NPUB30562_00-HDDBOOTSAMPLE001
G	NPUB30563	Simpsons Arcade Game	UP0101-NPUB30563_00-SIMPSONSARCADEKO
G	NPUB30570	FIFA 12	UP0006-NPUB30570_00-FIFA12PSNRELEASE
G	NPUB30573	Zen Pinball 2	UP4042-NPUB30573_00-ZENPINBALL200001
G	NPUB30577	Awesomenauts	UP4165-NPUB30577_00-RONIMOAWESOME001
G	NPUB30578	Frogger Hyper Arcade Edition	UP0101-NPUB30578_00-FROGGER000000001
G	NPUB30580	House of the Dead 3	UP0177-NPUB30580_00-THEHOUSEDEAD3PSN
G	NPUB30581	Sonic The Hedgehog 4 Episode 2	UP0177-NPUB30581_00-SONICDL2TRIAL000
G	NPUB30582	Red Johnson's Chronicles	UP4295-NPUB30582_00-TRIAL00000000000
G	NPUB30589	Counter Strike - Global Offensive	UP2061-NPUB30589_00-HDDBOOTCSGO00001
G	NPUB30595	Fight Night Champion - Champion  Mode	UP0006-NPUB30595_00-FN5NAHDD00000000
G	NPUB30597	Rocketbirds - Hard Boiled Chicken	UP5015-NPUB30597_00-HDDGAME000000001
G	NPUB30600	Shoot Many Robots	UP0001-NPUB30600_00-SMRTRIALGAME0001
